method,lambda,frobenius_relative_error,psnr,ssim
pseudoinverse,,5.171770018004742,5.550768536113775,0.02279827216176335
tikhonov,1e-10,1.0865001567655657,8.27217912122061,0.0806581525498836
tikhonov,1e-07,0.5331556577281562,11.289870722166755,0.21114967200896864
tikhonov,1e-05,0.7526230985082976,8.06319979970935,0.10532871967330225
tikhonov,0.001,0.901494130160465,6.324581215438685,0.047207273634814764
