lambda,relative_error,residual_norm,solution_norm,noise_norm
1e-16,2182.9759624610424,0.0002041803885225276,31610.89675966214,0.0026375265738683546
1.3628679593557728e-16,2010.2966954468673,0.00024384443505830734,29110.23602587618,0.0026375265738683546
1.8574090746385757e-16,1836.221249833399,0.00028606522915882235,26589.346361677715,0.0026375265738683546
2.5314033152415697e-16,1665.3104271556285,0.0003302504464043129,24114.276626235398,0.0026375265738683546
3.449968470549716e-16,1500.256793750141,0.00037610224102059076,21724.02277382623,0.0026375265738683546
4.701851489299847e-16,1342.0129157673105,0.0004236021347191942,19432.38375048949,0.0026375265738683546
6.408002744416009e-16,1190.6569011016243,0.0004728100315722569,17240.4944783177,0.0026375265738683546
8.733261623828437e-16,1046.4243926845286,0.0005235737395508644,15151.769865924394,0.0026375265738683546
1.1902282447787144e-15,910.3078195911173,0.0005753225173009173,13180.582975883615,0.0026375265738683546
1.6221239391291696e-15,783.9869903952681,0.0006270756856266647,11351.260705621246,0.0026375265738683546
2.210740742743128e-15,669.2841807533877,0.0006776581978898117,9690.193569275025,0.0026375265738683546
3.012947724726992e-15,567.5358197971958,0.0007259950979265709,8216.737329871652,0.0026375265738683546
4.1062499172442935e-15,479.19670618982417,0.000771341051019172,6937.481372510522,0.0026375265738683546
5.596276445319564e-15,403.7870875415446,0.0008133696523164049,5845.481704505741,0.0026375265738683546
7.626985859023451e-15,340.11392661959377,0.0008521285929372128,4923.464416542594,0.0026375265738683546
1.0394574653722625e-14,286.61303699579673,0.0008879150121332779,4148.77972773359,0.0026375265738683546
1.4166432746690193e-14,241.6654376633566,0.0009211342613000273,3497.9830062164065,0.0026375265738683546
1.9306977288832456e-14,203.80610546174907,0.0009521863880331642,2949.8577104512497,0.0026375265738683546
2.6312860738959445e-14,171.81780064024014,0.0009813953668449899,2486.7740386790774,0.0026375265738683546
3.586095482011829e-14,144.74345761072107,0.001008976317952486,2094.8683605774695,0.0026375265738683546
4.887374631624417e-14,121.85111837503757,0.00103503463786676,1763.5355981640373,0.0026375265738683546
6.660846290809168e-14,102.57266601227477,0.0010595966108565085,1484.5424065974496,0.0026375265738683546
9.077853991937558e-14,86.43442866009417,0.0010826663929055897,1251.0227860135747,0.0026375265738683546
1.2371916345321595e-13,73.00124259769197,0.0011042888476713987,1056.6687474767202,0.0026375265738683546
1.686128838286877e-13,61.85166518914029,0.001124588192864718,895.3721755589211,0.0026375265738683546
2.297970969046965e-13,52.586247118223326,0.0011437622153239427,761.3452718195169,0.0026375265738683546
3.1318310052438445e-13,44.852914048509746,0.001162036862440048,649.488172530818,0.0026375265738683546
4.268272131163817e-13,38.36715525133675,0.00117960913031101,555.6805618824119,0.0026375265738683546
5.81709132937437e-13,32.913736025095744,0.0011966110565995464,476.80522772855284,0.0026375265738683546
7.927927389450606e-13,28.331852390384373,0.0012131111394655346,410.5320214321781,0.0026375265738683546
1.0804718223181286e-12,24.4946865011541,0.0012291453005515399,355.02155892597284,0.0026375265738683546
1.4725404276241208e-12,21.293003265867807,0.0012447572017120585,308.6885170201281,0.0026375265738683546
2.0068781676649624e-12,18.625871872881916,0.0012600339907482894,270.06886278341926,0.0026375265738683546
2.7351099530412107e-12,16.39692398611763,0.0012751361835969118,237.76722932446677,0.0026375265738683546
3.727593720314938e-12,14.51419075606581,0.0012903229664685129,210.4552139542315,0.0026375265738683546
5.080218046913033e-12,12.892907871914064,0.0013059635241496632,186.91133344676874,0.0026375265738683546
6.9236664026787344e-12,11.460687733579821,0.0013225132139181518,166.0942972509643,0.0026375265738683546
9.43604310147889e-12,10.163059228898367,0.001340436717609866,147.2215585334494,0.0026375265738683546
1.286008080610565e-11,8.9665365462324,0.0013600859528511216,129.81283848890172,0.0026375265738683546
1.752659208536755e-11,7.8572951454727145,0.0013815773308883262,113.67099470099384,0.0026375265738683546
2.3886430789845908e-11,6.835659023965782,0.0014047314666709612,98.80285034918283,0.0026375265738683546
